postalCode,price,n_rooms,living_area,equipped_kitchen,fireplace,terrace,area_terrace,garden,area_garden,land_surface,n_facades,swimming_pool
6724.0,440000.0,6.0,255.0,1.0,0.0,1.0,18.0,0.0,0.0,774.0,4.0,1.0
3080.0,935000.0,5.0,295.0,1.0,0.0,1.0,28.0,1.0,800.0,1362.0,4.0,0.0
1755.0,429000.0,3.0,185.0,1.0,1.0,0.0,0.0,0.0,0.0,325.0,3.0,0.0
4102.0,70000.0,2.0,75.0,1.0,0.0,0.0,0.0,1.0,220.0,302.0,3.0,0.0
4500.0,89500.0,3.0,120.0,1.0,1.0,0.0,0.0,0.0,0.0,55.0,2.0,0.0
4000.0,99000.0,4.0,123.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,3.0,0.0
4100.0,99000.0,2.0,115.0,1.0,0.0,1.0,25.0,1.0,68.0,155.0,2.0,0.0
6870.0,99000.0,2.0,81.0,1.0,0.0,1.0,18.0,0.0,0.0,65.0,2.0,0.0
4100.0,125000.0,2.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,0.0
9600.0,129000.0,3.0,117.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,2.0,0.0
4100.0,135000.0,2.0,87.0,1.0,0.0,1.0,17.0,1.0,40.0,120.0,2.0,0.0
4367.0,138000.0,2.0,120.0,1.0,0.0,1.0,16.0,0.0,0.0,90.0,3.0,0.0
4000.0,139000.0,4.0,164.0,1.0,0.0,1.0,65.0,1.0,199.0,317.0,3.0,0.0
1440.0,145000.0,2.0,64.0,1.0,0.0,1.0,9.0,0.0,0.0,43.0,3.0,0.0
4000.0,149000.0,4.0,129.0,1.0,0.0,1.0,27.0,1.0,28.0,75.0,2.0,0.0
4000.0,149000.0,4.0,123.0,1.0,0.0,1.0,18.0,0.0,0.0,150.0,3.0,0.0
4041.0,149000.0,2.0,114.0,1.0,0.0,0.0,0.0,1.0,304.0,422.0,4.0,0.0
9600.0,149000.0,3.0,180.0,1.0,0.0,0.0,0.0,1.0,20.0,130.0,2.0,0.0
9600.0,149000.0,2.0,145.0,1.0,0.0,1.0,10.0,0.0,0.0,88.0,2.0,0.0
4130.0,150000.0,2.0,139.0,1.0,0.0,1.0,36.0,1.0,315.0,413.0,3.0,0.0
4140.0,160000.0,1.0,70.0,1.0,0.0,1.0,18.0,1.0,140.0,259.0,3.0,0.0
4040.0,164000.0,4.0,167.0,1.0,0.0,1.0,80.0,0.0,0.0,90.0,3.0,0.0
2060.0,165000.0,2.0,61.0,1.0,1.0,0.0,0.0,0.0,0.0,60.0,3.0,0.0
9600.0,169900.0,1.0,72.0,1.0,0.0,1.0,3.0,0.0,0.0,40.0,2.0,0.0
4100.0,179000.0,3.0,82.0,1.0,0.0,1.0,13.0,1.0,65.0,128.0,2.0,0.0
9600.0,179000.0,3.0,117.0,1.0,0.0,0.0,0.0,1.0,17.0,80.0,2.0,0.0
6690.0,180000.0,2.0,117.0,1.0,0.0,1.0,20.0,1.0,409.0,504.0,3.0,0.0
2140.0,183000.0,2.0,89.0,1.0,1.0,1.0,4.0,0.0,0.0,287.0,2.0,0.0
4000.0,189000.0,2.0,110.0,1.0,0.0,1.0,18.0,1.0,100.0,210.0,2.0,0.0
4032.0,189000.0,3.0,175.0,1.0,0.0,1.0,20.0,0.0,0.0,82.0,3.0,0.0
4040.0,189000.0,2.0,118.0,1.0,0.0,1.0,18.0,1.0,37.0,129.0,2.0,0.0
2830.0,197000.0,4.0,80.0,1.0,1.0,0.0,0.0,0.0,0.0,350.0,2.0,0.0
4020.0,199000.0,2.0,113.0,1.0,0.0,0.0,0.0,0.0,0.0,262.0,2.0,0.0
4040.0,199000.0,4.0,231.0,1.0,0.0,1.0,54.0,1.0,140.0,251.0,3.0,0.0
4040.0,209000.0,2.0,124.0,1.0,0.0,1.0,53.0,1.0,60.0,220.0,3.0,0.0
4684.0,209000.0,2.0,143.0,1.0,0.0,1.0,15.0,1.0,75.0,275.0,3.0,0.0
9600.0,209000.0,3.0,132.0,1.0,0.0,1.0,8.0,1.0,35.0,100.0,2.0,0.0
9600.0,209000.0,3.0,132.0,1.0,0.0,1.0,20.0,1.0,80.0,180.0,2.0,0.0
4040.0,219000.0,3.0,164.0,1.0,0.0,1.0,30.0,0.0,0.0,95.0,2.0,0.0
4100.0,219000.0,2.0,100.0,1.0,0.0,1.0,53.0,1.0,220.0,373.0,3.0,0.0
4570.0,219000.0,3.0,100.0,1.0,1.0,1.0,18.0,1.0,900.0,1155.0,4.0,0.0
4680.0,219000.0,4.0,185.0,1.0,0.0,1.0,72.0,0.0,0.0,205.0,3.0,0.0
4800.0,219000.0,6.0,210.0,1.0,0.0,1.0,40.0,1.0,52.0,190.0,2.0,0.0
4500.0,219500.0,3.0,132.0,1.0,1.0,1.0,10.0,1.0,240.0,325.0,2.0,0.0
6840.0,220000.0,3.0,172.0,1.0,0.0,1.0,42.0,1.0,200.0,370.0,3.0,0.0
9600.0,220000.0,4.0,171.0,1.0,0.0,0.0,0.0,1.0,33.0,182.0,2.0,0.0
4000.0,225000.0,3.0,117.0,1.0,0.0,1.0,40.0,1.0,160.0,240.0,2.0,0.0
4020.0,229000.0,4.0,222.0,1.0,0.0,1.0,48.0,1.0,251.0,417.0,2.0,0.0
4031.0,229000.0,3.0,179.0,1.0,0.0,1.0,14.0,0.0,0.0,110.0,2.0,0.0
4890.0,229000.0,3.0,172.0,1.0,0.0,1.0,92.0,0.0,0.0,204.0,3.0,0.0
1470.0,235000.0,4.0,142.0,1.0,0.0,0.0,0.0,1.0,272.0,302.0,2.0,0.0
4841.0,235000.0,5.0,230.0,1.0,0.0,0.0,0.0,1.0,339.0,432.0,3.0,0.0
9120.0,235000.0,3.0,155.0,1.0,0.0,1.0,15.0,1.0,115.0,228.0,2.0,0.0
2060.0,239000.0,5.0,150.0,1.0,1.0,1.0,5.0,0.0,0.0,56.0,2.0,0.0
4430.0,239000.0,5.0,213.0,1.0,0.0,1.0,66.0,1.0,110.0,261.0,2.0,0.0
4000.0,249000.0,4.0,242.0,1.0,0.0,1.0,33.0,1.0,60.0,163.0,2.0,0.0
4100.0,249000.0,3.0,122.0,1.0,0.0,1.0,34.0,1.0,130.0,267.0,3.0,0.0
4683.0,249000.0,3.0,150.0,1.0,1.0,1.0,7.0,1.0,149.0,265.0,2.0,0.0
1495.0,250000.0,2.0,106.0,1.0,0.0,1.0,6.0,1.0,296.0,388.0,3.0,0.0
4000.0,255000.0,2.0,110.0,1.0,0.0,0.0,0.0,1.0,64.0,134.0,2.0,0.0
5377.0,259000.0,3.0,180.0,1.0,0.0,1.0,61.0,1.0,431.0,542.0,2.0,0.0
9420.0,259000.0,3.0,200.0,1.0,0.0,1.0,18.0,0.0,0.0,350.0,2.0,0.0
4520.0,259500.0,4.0,254.0,1.0,1.0,1.0,15.0,1.0,2700.0,2850.0,4.0,0.0
