url,region,province,district,postalCode,locality,street,Type_property,subtype_property,price,type_transaction,floor,n_rooms,living_area,equipped_kitchen,furnished,fireplace,terrace,area_terrace,garden,area_garden,land_surface,n_facades,n_floorCount,swimming_pool,state_building
https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/10677803,Flanders,Antwerp,Antwerp,2100,Deurne,Boterlaarbaan,APARTMENT,APARTMENT,259000,FOR_SALE,1,2,106,1,0,1,1,6,0,0,0,3,3,0,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/10677713,Brussels,Brussels,Brussels,1040,Etterbeek,Avenue d'Auderghem,APARTMENT,APARTMENT,270000,FOR_SALE,1,1,65,1,0,0,1,17,0,0,0,2,4,0,GOOD
https://www.immoweb.be/en/classified/penthouse/for-sale/bruxelles/1000/10676485,Brussels,Brussels,Brussels,1000,Bruxelles,Drève du Parc,APARTMENT,PENTHOUSE,309000,FOR_SALE,1,1,80,1,0,0,0,0,0,0,0,3,6,0,AS_NEW
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10676483,Brussels,Brussels,Brussels,1000,Bruxelles,Drève du Parc,APARTMENT,APARTMENT,349000,FOR_SALE,2,2,97,1,0,0,1,5,0,0,0,3,6,0,AS_NEW
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10676484,Brussels,Brussels,Brussels,1000,Bruxelles,Drève du Parc,APARTMENT,APARTMENT,350000,FOR_SALE,1,2,104,1,0,0,1,9,0,0,0,3,6,0,AS_NEW
https://www.immoweb.be/en/classified/penthouse/for-sale/bruxelles/1000/10676496,Brussels,Brussels,Brussels,1000,Bruxelles,Parkdreef,APARTMENT,PENTHOUSE,390000,FOR_SALE,1,2,94,1,0,0,1,8,0,0,0,4,4,0,AS_NEW
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10676501,Brussels,Brussels,Brussels,1000,Bruxelles,Parkdreef,APARTMENT,APARTMENT,746000,FOR_SALE,5,3,161,1,0,0,1,14,0,0,0,4,6,0,AS_NEW
https://www.immoweb.be/en/classified/duplex/for-sale/woluwe-saint-pierre/1150/10675409,Brussels,Brussels,Brussels,1150,Woluwe-Saint-Pierre,Rue du Bemel,APARTMENT,DUPLEX,1095000,FOR_SALE,2,5,300,1,0,0,1,15,0,0,0,2,3,0,AS_NEW
https://www.immoweb.be/en/classified/penthouse/for-sale/bruxelles/1000/10675401,Brussels,Brussels,Brussels,1000,Bruxelles,Quai au Foin,APARTMENT,PENTHOUSE,385000,FOR_SALE,6,2,80,1,1,0,1,9,0,0,0,2,6,0,AS_NEW
https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/10668584,Brussels,Brussels,Brussels,1080,Molenbeek-Saint-Jean,Boulevard Louis Mettewie,APARTMENT,APARTMENT,129000,FOR_SALE,13,1,35,1,0,0,1,10,0,0,0,2,13,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10666536,Brussels,Brussels,Brussels,1030,Schaerbeek,Avenue Paul Deschanel,APARTMENT,APARTMENT,345000,FOR_SALE,4,2,95,1,0,1,1,3,0,0,0,2,7,0,GOOD
